"ID","Title","Attachments","Created By","Created On","Expected Result","Forecast","Labels","Manual/Automated","Overview","Preconditions","Priority","References","Section","Section Depth","Section Description","Section Hierarchy","Steps","Suite","Suite ID","Template","Test Review Comments","Type","Updated By","Updated On"
"C28028","Dossier: Verify the file with the document type .WPD converts successfully and identical to the original file","","Subash","5/26/2021 9:42 AM","- The document should appear identical AND there should be no loss of features/functions for document properties should behave as in the original","",""," Automated","This ticket is to capture the QA testing required to qualify the Neevia replacement.  This portion of the testing will ONLY cover document conversion--NOT the access to 
the updated conversion service from multiple areas of the product. 
","- Simple docs: https://interfolio.atlassian.net/wiki/spaces/SDEV/pages/2567504003/Simple+-Test+Documents
- Complex docs: https://interfolio.atlassian.net/wiki/spaces/SDEV/pages/2596634625/Complex+-+Test+Document    ","High","QAB-3568","Materials","3","","Dossier > Automation > E2E > Materials","1. Proxy Dossier Admin


2. Go to Materials menu


3. Click the 'Add File'


4. Upload the .WPD file for simple docs using the option' Browse To Upload' or 'Drag & Drop'


5. After uploading, choose the Type


6. Click on Add button


7. Repeat steps 3 to 6 to upload .WPD file for complex docs


8. Verify the conversion is successful and status should change to Received with Time stamp


9. Click on the file and verify that the reader should show the document


10. Verify there is no error in the console


11. Download the file (original/PDF format) and verify the document is identical to the original document   
","Master","S1","Test Case  (Text)","","Regression","Polina Howard","2/11/2025 2:50 PM"
"C30155","Dossier: Verify the Add File - Video file (YouTube or Vimeo Videos)","","Subash","6/10/2021 9:08 AM","Request with the Video file got uploaded successfully to the Material list and contains the information","",""," Automated","As a Dossier (free) user, Verify the Add File - Video file (YouTube or Vimeo Videos)","1. The current logged in user has a Dossier (free tier) account
2. Material must be available - Videos","High","QAB-3569","Materials","3","","Dossier > Automation > E2E > Materials","1. Login to Dossier (free) account
2. Navigate to 'Materials' menu
3. Click on 'Add Files' button
4. Verify you are on the Add file pop up screen
5. Select 'Video' tab from the Add file screen
6. Enter a title for the Video in Title textbox (Validate and ensure that Title are mandatory fields are indicated by an asterisk (*) symbol.)
7. Verify the entered title shows green tick in the textbox
8. Select a Type of video from the dropdown menu (Validate and ensure that Type are mandatory fields are indicated by an asterisk (*) symbol.)
9. Verify that the selected video type displays in the type section.
10. Enter the URL for the youtube video (Validate and ensure that URL are mandatory fields are indicated by an asterisk (*) symbol.)
 NOTE: Video URL should entered from https://www
11. Verify that the entered URL shows green tick in the textbox
12. Enter paragraph of text about video under the description
13. Verify the hover near the description which states (Add text here to describe or provide context for your video)
14. Verify the 'Add' button is enabled
15. Click on 'Add' button
16. Verify the following message: """"1 FILE WAS SUCCESSFULLY ADDED TO YOUR DOSSIER"""" with green background
17. Verify that the user should be navigated to """"My Materials"""" 
18. Verify that the added video is displayed under """"All Materials"""" section with provided title, type and status","Master","S1","Test Case  (Text)","","Regression","Polina Howard","2/11/2025 2:52 PM"
"C30840","Dossier: Verify the My Materials -  Sorting functionality","","Subash","6/14/2021 4:05 AM","Materials should be sorted based on the selected grid.","",""," Automated","As a Dossier (free) user, Verify the My Materials -  Sorting functionality","1. The current logged in user has a Dossier (free tier) account
2. Material must be available","High","QAB-3573","Materials","3","","Dossier > Automation > E2E > Materials","1. Login to Dossier (free) account
2. Navigate to 'Materials' menu
3. Verify the Materials is added in 'My Materials' page
4. All the existing materials will be displayed under 'All Materials' section with the number of available materials.
5. A text field with 'search' icon, 'Filter' button and 'View Archived Materials' link should be displayed.
6. Select any required column in the grid table","Master","S1","Test Case  (Text)","","Regression","Polina Howard","2/11/2025 2:54 PM"
"C28003","Dossier: Materials - Download PDF/Docx files","","Leonid Barinstein","5/24/2021 3:59 PM","","",""," Automated","Download different types of materials. ","","Medium","","Materials","3","","Dossier > Automation > E2E > Materials","    Select DOCX for download, compare to original

    Selelct PDF for download, compare to original

A/C 

0 - seed the data thru the API (see other tickets for re-usable code here)

 1 - verify the 2 most commonly used file types supported (DOCX,and PDF)

2 -  verify the success message on download

3 - Compare the downloaded to the original, i.e., do file compare with the original 

Docs should be identical

4 - Data cleanup should remove the documents from the materials collection","Master","S1","Test Case  (Text)","","Smoke","Polina Howard","2/11/2025 3:06 PM"
"C28025","Dossier: Verify the file with the document type .PDF converts successfully and identical to the original file","","Subash","5/26/2021 9:39 AM","- The document should appear identical AND there should be no loss of features/functions for document properties (Bookmark/footers/TOC/Multiple Fonts/Cross Reference/etc.) should behave as in the original","",""," Automated","This ticket is to capture the QA testing required to qualify the Neevia replacement.  This portion of the testing will ONLY cover document conversion--NOT the access to 
the updated conversion service from multiple areas of the product. 
","- Simple docs: https://interfolio.atlassian.net/wiki/spaces/SDEV/pages/2567504003/Simple+-Test+Documents
- Complex docs: https://interfolio.atlassian.net/wiki/spaces/SDEV/pages/2596634625/Complex+-+Test+Document 


These data should be included in the file       


- Bookmark 


- Footer 


- Cross Reference (Footnote, link to other entry) 


- TOC 


- Index 


- Tables 


- Multiple Fonts (including expanded charsets foreign, math, etc) 


- Encryption/Password protection 


- Embedded images
","High","QAB-3567","Materials","3","","Dossier > Automation > E2E > Materials","1. Proxy Dossier Admin


2. Go to Materials menu


3. Click the 'Add File'


4. Upload the .PDF file for simple docs using the option' Browse To Upload' or 'Drag & Drop'


5. After uploading, choose the Type


6. Click on Add button


7. Repeat steps 3 to 6 to upload .PDF file for complex docs


8. Verify the conversion is successful and status should change to Received with Time stamp


9. Click on the file and verify that the reader should show the document


10. Verify there is no error in the console


11. Download the file (original/PDF format) and verify the document is identical to the original document   
","Master","S1","Test Case  (Text)","","Regression","Be Ford","7/24/2025 6:18 PM"
"C30169","Dossier: Verify the My Materials - Add tag in Material title","","Subash","6/11/2021 3:34 AM","Requesting to adding a tag in material which got applied to material successfully in the Material list and contains the information added by the user for the tag","",""," Automated","As a Dossier (free) user, Verify the My Materials - Add tag in Material title","1. The current logged in user has a Dossier (free tier) account
2. Material must be available","High","QAB-3571","Materials","3","","Dossier > Automation > E2E > Materials","1. Login to Dossier (free) account
2. Navigate to 'Materials' menu
3. Verify the Materials is added in the 'My Materials' screen
4. Click on '+' icon in any required material 
5. Verify the tags dropdown list is displayed & """"Add new tag"""" button is displayed 
6.  Click on 'Add new tag' button in dropdown screen displays 
7. Verify the 'Add New Tag' popup window is displayed with the following:
   - Name (Mandatory Field)
   - 'Save' button
   - 'Cancel' button
8. Enter the required name in the name 
9. Click on 'Save' button
10. Verify the added tag is displayed in the materials","Master","S1","Test Case  (Text)","","Regression","Be Ford","7/24/2025 6:18 PM"
"C51538","Dossier: Deliveries - Apply to FS position","","Amy Bailey","10/12/2021 3:57 PM","A dossier user can apply to any Interfolio posted position","",""," Automated","Apply to an Interfolio position","1. An open position exists in Faculty Search for a tenant (institution)
2. You have access to an FS admin user with permissions to view that open position
3. The current user is a Dossier user

*these should not be the same user","Medium","QAB-585","Deliveries","3","","Dossier > Automation > E2E > Deliveries","1. Log in as a Dossier user
2. Navigate to Deliveries then select """"New Delivery""""
3. In the """"Find an Opportunity"""" text box, search for the FS open position you wish to apply to (use a substring of the position name)
4. Select the position from the list
5. Click Start Application button
6. Add any required documents/files and click Next
7. Verify Name & Address, Highest Degree Earned, Receiving Institution, and Date Earned values. (these will be pulled from the Dossier user's profile) and click Next
8. Enter required data into any forms that are shown and click Next
9. On the Review & Submit screen, click Submit Delivery. The packet should be submitted successfully.  
10. Return to the Deliveries screen and verify the application submission appears under the """"Sent Deliveries"""" section.
11. Login as an FS admin in the tenant where the position originated 
12. Go to Faculty Search / Positions and open the position to see candidates
13. Verify the Dossier user shows as an applicant with the correct date of application and is listed as application Complete 



","Master","S1","Test Case  (Text)","","Smoke","Polina Howard","2/11/2025 3:05 PM"
"C387191","Dossier: Deliveries - Verify a flagged (red exclamation mark) when unfulfilled requirements in a delivery application","","Khristina Balatico","8/15/2023 12:55 PM","User should be able to see the red exclamation mark on the right Application Steps navigation area","",""," Automated","Verifying that unfulfilled requirements in a delivery application are flagged (red exclamation mark) on the right Application Steps navigation area.","1. Logged-in user has a Dossier (free tier) account.
2. User is subscribed to Dossier Deliver
3. User has already started the Application and it should be displayed under In Progress Deliveries.
4. User has unfulfilled requirements","Critical","QAB-3265","Deliveries","3","","Dossier > Automation > E2E > Deliveries","1. Log in to the Dossier (free) account
2. Navigate to the 'Deliveries' menu
3. Verify the Deliveries page should be displayed, with the 'New Deliveries' button.
4. Select the 'Edit' button against the selected job application under the In progress Deliveries.
5. Verify the red exclamation mark should be displayed in the Application Steps","Master","S1","Test Case  (Text)","","Regression","Polina Howard","2/11/2025 3:05 PM"
"C387192","Dossier: Deliveries - Verify the applications by navigating the Application Steps","","Khristina Balatico","8/15/2023 1:30 PM","1. 'Application Submitted' message should be displayed.
2. Application details should be moved to the Sent Deliveries section.","",""," Automated","Navigating the application by using the right navigation section “Application Steps” instead of using the Next/Previous buttons.","1. Position that has required Document Requirements
2. Logged-in user has a Dossier (free tier) account.
3. User does not need Dossier Deliver to apply
4. User does not need to add as an applicant in the Position
","Critical","QAB-3267","Deliveries","3","","Dossier > Automation > E2E > Deliveries","1. Login to the Dossier (free) account
2. Navigate to the 'Deliveries' menu
3. Verify the Deliveries page is displayed, with the 'New Delivery' button
4. Click 'New Delivery
5. Under 'Find an Opportunity' type the title of the position partially in the search field and click 'Select'
6. Select the position for the application and click 'Start Application'
7. Documents section will be displayed and the user needs to add documents by selecting the 'Add Documents' button
8. 'Add File' window will be opened for uploading new/existing materials to add  
9. After the material is selected, click on Add button and the material will be added in the Documents section.
10. Select 'Personal Information' in the Application Steps
11. Fill out all required fields under Personal Information
12. Select 'Forms' in the Application Steps
13. Fill out all required fields under Forms
14. Review the application in the 'Review and Submit' section
15. Select 'Submit Delivery'
16. Confirm the application is submitted by clicking the 'Deliveries' button to view the application under 'Sent Deliveries'","Master","S1","Test Case  (Text)","","Regression","Polina Howard","2/11/2025 3:05 PM"
"C416277","Dossier: Deliveries - Verify the User's account settings/Profile in the Personal Information is correct","","Khristina Balatico","9/20/2023 8:46 AM","Verify the prepopulated data from the User's account settings/Profile in the Personal Information must be correct.","",""," Automated","Validate the data prepopulates correctly from the user’s account settings/profile in the Personal Information section of the application.","1. Logged-in user has a Dossier (free tier) account.
2. User does not need Dossier Deliver to apply  ","Critical","QAB-3563","Deliveries","3","","Dossier > Automation > E2E > Deliveries","1. Login to the Dossier (free) account
2. Navigate to the 'Deliveries' menu
3. Verify the Deliveries page is displayed, with the 'New Delivery' button
4. Click 'New Delivery
5. Under 'Find an Opportunity' type the title of the position partially in the search field and click 'Select'
6. Select the position for the application and click 'Start Application
7. Documents section will be displayed and the user needs to add documents by selecting the 'Add Documents' button
8. 'Add File' window will be opened for uploading new/existing materials to add  
9. After the material is selected, click on the Add button and the material will be added in the Documents section.
10. Select 'Personal Information in the Application Steps","Master","S1","Test Case  (Text)","","Regression","Polina Howard","2/11/2025 3:05 PM"
